player,season,old_url,new_url
Gary Trent Jr.,2024,https://www.basketball-reference.com/players/t/trentga01/gamelog/2024,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024
Cameron Johnson,2024,https://www.basketball-reference.com/players/j/johnsca01/gamelog/2024,https://www.basketball-reference.com/players/j/johnsca02/gamelog/2024
Harrison Barnes,2023,https://www.basketball-reference.com/players/b/barneha01/gamelog/2023,https://www.basketball-reference.com/players/b/barneha02/gamelog/2023
Clint Capela,2026,https://www.basketball-reference.com/players/c/capelcl01/gamelog/2026,https://www.basketball-reference.com/players/c/capelca01/gamelog/2026
Jalen Wilson,2025,https://www.basketball-reference.com/players/w/wilsoja01/gamelog/2025,https://www.basketball-reference.com/players/w/wilsoja03/gamelog/2025
Cam Thomas,2025,https://www.basketball-reference.com/players/t/thomaca01/gamelog/2025,https://www.basketball-reference.com/players/t/thomaca02/gamelog/2025
Bronny James,2025,https://www.basketball-reference.com/players/j/jamesbr01/gamelog/2025,https://www.basketball-reference.com/players/j/jamesbr02/gamelog/2025
Jabari Smith Jr.,2026,https://www.basketball-reference.com/players/s/smithja01/gamelog/2026,https://www.basketball-reference.com/players/s/smithja04/gamelog/2026
Alperen Şengün,2025,https://www.basketball-reference.com/players/e/engnal01/gamelog/2025,https://www.basketball-reference.com/players/s/sengual01/gamelog/2025
Anthony Davis,2024,https://www.basketball-reference.com/players/d/davisan01/gamelog/2024,https://www.basketball-reference.com/players/d/davisan02/gamelog/2024
Mark Williams,2023,https://www.basketball-reference.com/players/w/willima01/gamelog/2023,https://www.basketball-reference.com/players/w/willima07/gamelog/2023
Devin Carter,2026,https://www.basketball-reference.com/players/c/cartede01/gamelog/2026,https://www.basketball-reference.com/players/c/cartede02/gamelog/2026
TyTy Washington Jr.,2023,https://www.basketball-reference.com/players/w/washity01/gamelog/2023,https://www.basketball-reference.com/players/w/washity02/gamelog/2023
Anthony Davis,2023,https://www.basketball-reference.com/players/d/davisan01/gamelog/2023,https://www.basketball-reference.com/players/d/davisan02/gamelog/2023
Nikola Jokić,2026,https://www.basketball-reference.com/players/j/jokini01/gamelog/2026,https://www.basketball-reference.com/players/j/jokicni01/gamelog/2026
Kenrich Williams,2023,https://www.basketball-reference.com/players/w/willike01/gamelog/2023,https://www.basketball-reference.com/players/w/willike04/gamelog/2023
Scotty Pippen Jr.,2025,https://www.basketball-reference.com/players/p/pippesc01/gamelog/2025,https://www.basketball-reference.com/players/p/pippesc02/gamelog/2025
Robert Williams,2026,https://www.basketball-reference.com/players/w/williro01/gamelog/2026,https://www.basketball-reference.com/players/w/williro04/gamelog/2026
Jaren Jackson Jr.,2023,https://www.basketball-reference.com/players/j/jacksja01/gamelog/2023,https://www.basketball-reference.com/players/j/jacksja02/gamelog/2023
Larry Nance Jr.,2023,https://www.basketball-reference.com/players/n/nancela01/gamelog/2023,https://www.basketball-reference.com/players/n/nancela02/gamelog/2023
Harrison Barnes,2026,https://www.basketball-reference.com/players/b/barneha01/gamelog/2026,https://www.basketball-reference.com/players/b/barneha02/gamelog/2026
Taurean Prince,2026,https://www.basketball-reference.com/players/p/princta01/gamelog/2026,https://www.basketball-reference.com/players/p/princta02/gamelog/2026
Nikola Jović,2026,https://www.basketball-reference.com/players/j/jovini01/gamelog/2026,https://www.basketball-reference.com/players/j/jovicni01/gamelog/2026
Jalen Pickett,2025,https://www.basketball-reference.com/players/p/pickeja01/gamelog/2025,https://www.basketball-reference.com/players/p/pickeja02/gamelog/2025
Nikola Vučević,2026,https://www.basketball-reference.com/players/v/vuevini01/gamelog/2026,https://www.basketball-reference.com/players/v/vucevni01/gamelog/2026
Alondes Williams,2023,https://www.basketball-reference.com/players/w/willial01/gamelog/2023,https://www.basketball-reference.com/players/w/willial06/gamelog/2023
Trayce Jackson-Davis,2026,https://www.basketball-reference.com/players/j/jackstr01/gamelog/2026,https://www.basketball-reference.com/players/j/jackstr02/gamelog/2026
Tim Hardaway Jr.,2025,https://www.basketball-reference.com/players/h/hardati01/gamelog/2025,https://www.basketball-reference.com/players/h/hardati02/gamelog/2025
Brandon Williams,2023,https://www.basketball-reference.com/players/w/willibr01/gamelog/2023,https://www.basketball-reference.com/players/w/willibr03/gamelog/2023
Nikola Jović,2024,https://www.basketball-reference.com/players/j/jovini01/gamelog/2024,https://www.basketball-reference.com/players/j/jovicni01/gamelog/2024
Jeremiah Robinson-Earl,2026,https://www.basketball-reference.com/players/r/robinje01/gamelog/2026,https://www.basketball-reference.com/players/r/robinje02/gamelog/2026
Jaren Jackson Jr.,2026,https://www.basketball-reference.com/players/j/jacksja01/gamelog/2026,https://www.basketball-reference.com/players/j/jacksja02/gamelog/2026
Gary Trent Jr.,2023,https://www.basketball-reference.com/players/t/trentga01/gamelog/2023,https://www.basketball-reference.com/players/t/trentga02/gamelog/2023
Jeff Green,2026,https://www.basketball-reference.com/players/g/greenje01/gamelog/2026,https://www.basketball-reference.com/players/g/greenje02/gamelog/2026
Taurean Prince,2025,https://www.basketball-reference.com/players/p/princta01/gamelog/2025,https://www.basketball-reference.com/players/p/princta02/gamelog/2025
Robert Williams,2024,https://www.basketball-reference.com/players/w/williro01/gamelog/2024,https://www.basketball-reference.com/players/w/williro04/gamelog/2024
Jordan Miller,2024,https://www.basketball-reference.com/players/m/millejo01/gamelog/2024,https://www.basketball-reference.com/players/m/millejo02/gamelog/2024
Robert Williams,2025,https://www.basketball-reference.com/players/w/williro01/gamelog/2025,https://www.basketball-reference.com/players/w/williro04/gamelog/2025
Derrick Jones Jr.,2026,https://www.basketball-reference.com/players/j/jonesde01/gamelog/2026,https://www.basketball-reference.com/players/j/jonesde02/gamelog/2026
Maxi Kleber,2023,https://www.basketball-reference.com/players/k/klebema01/gamelog/2023,https://www.basketball-reference.com/players/k/klebima01/gamelog/2023
Caleb Martin,2026,https://www.basketball-reference.com/players/m/martica01/gamelog/2026,https://www.basketball-reference.com/players/m/martica02/gamelog/2026
Brandon Miller,2025,https://www.basketball-reference.com/players/m/millebr01/gamelog/2025,https://www.basketball-reference.com/players/m/millebr02/gamelog/2025
Javonte Green,2024,https://www.basketball-reference.com/players/g/greenja01/gamelog/2024,https://www.basketball-reference.com/players/g/greenja02/gamelog/2024
Vít Krejčí,2025,https://www.basketball-reference.com/players/k/krejvt01/gamelog/2025,https://www.basketball-reference.com/players/k/krejcvi01/gamelog/2025
Luka Dončić,2024,https://www.basketball-reference.com/players/d/donilu01/gamelog/2024,https://www.basketball-reference.com/players/d/doncilu01/gamelog/2024
Trayce Jackson-Davis,2024,https://www.basketball-reference.com/players/j/jackstr01/gamelog/2024,https://www.basketball-reference.com/players/j/jackstr02/gamelog/2024
Clint Capela,2023,https://www.basketball-reference.com/players/c/capelcl01/gamelog/2023,https://www.basketball-reference.com/players/c/capelca01/gamelog/2023
Tobias Harris,2023,https://www.basketball-reference.com/players/h/harrito01/gamelog/2023,https://www.basketball-reference.com/players/h/harrito02/gamelog/2023
Robert Williams,2023,https://www.basketball-reference.com/players/w/williro01/gamelog/2023,https://www.basketball-reference.com/players/w/williro04/gamelog/2023
Tolu Smith,2026,https://www.basketball-reference.com/players/s/smithto01/gamelog/2026,https://www.basketball-reference.com/players/s/smithto05/gamelog/2026
Cam Thomas,2023,https://www.basketball-reference.com/players/t/thomaca01/gamelog/2023,https://www.basketball-reference.com/players/t/thomaca02/gamelog/2023
